"Ticker","Nome","Negócios","Última (R$)","Variação"
"TEKA4","Teka","100","34,00","+12,21%"
"CSRN5","COSERN","100","15,10","+0,67%"
"EQPA5","Equatorial Energia Pará","100","8,14","-11,43%"
"CSRN6","COSERN","200","15,50","+6,90%"
"BMIN3","Banco Mercantil de Investimentos","600","18,64","-4,99%"
"BALM3","Baumer","200","12,50","+0,00%"
"CIEL3","Cielo","3.859.900","5,83","+0,00%"
"AHEB3","São Paulo Turismo","400","35,00","-2,78%"
"TKNO4","Tekno","100","85,00","-4,49%"
"CEDO3","Cedro Têxtil","100","26,11","+0,00%"
"MAPT3","Cemepe","100","4,21","+0,00%"
"MSPA3","Melhoramentos","8.400","42,00","-1,64%"
"MSPA4","Melhoramentos","1.200","36,30","+0,00%"
